ItemNo,GroupNo,ShelfNo
P1652,9,157
P1139,9,36
P1124,9,147
P1210,9,37
P0847,9,72
P0430,9,127
P1512,9,9
P0456,9,60
P0936,9,181
P0853,9,154
P0742,9,45
P1060,9,40
P1502,9,23
P1391,9,191
P0119,9,125
P0404,9,49
P0408,9,17
P0156,9,151
P1515,9,124
P1584,9,97
P0463,9,75
P0505,9,29
P1360,9,107
P1396,9,198
P1229,9,26
P0324,9,4
P1270,9,187
P0425,9,174
P1052,9,150
P1234,9,180
P0455,9,110
P0181,9,111
P1195,9,196
P0320,9,15
P1371,9,120
P1687,9,64
P0800,9,85
P0968,9,30
P1848,9,47
P0191,9,117
P1239,9,172
P1412,9,62
P1342,9,184
P1609,9,104
P0086,9,3
P0331,9,65
P0175,9,171
P1083,9,200
P0177,9,54
P1669,9,161
P0447,9,113
P1207,9,44
P0967,9,2
P1244,9,179
P1117,9,71
P0852,9,5
P0257,9,173
P1803,9,122
P1411,9,133
P0566,9,116
P1762,9,159
P1208,9,24
P1855,9,170
P0141,9,103
P1656,9,93
P0702,9,101
P0317,9,48
P0851,9,32
P0522,9,80
P1288,9,70
P0427,9,58
P0560,9,16
P1220,9,132
P1749,9,95
P0935,9,55
P0512,9,34
P1362,9,177
P1257,9,165
P1096,9,153
P0515,9,140
P0979,9,139
P0678,9,20
P1316,9,94
P1245,9,168
P1750,9,158
P1252,9,163
P1393,9,194
P1526,9,145
P0909,9,143
P1487,9,11
P1009,9,160
P0464,9,73
P0969,9,39
P1099,9,114
P1114,9,42
P1607,9,182
P1823,9,92
P0685,9,138
P0812,9,35
P0254,9,91
P0532,9,56
P0379,9,46
P0548,9,134
P1596,9,79
P1802,9,82
P0938,9,33
P0097,9,108
P0854,9,176
P1102,9,31
P1475,9,7
P0527,9,100
P1232,9,130
P0807,9,59
P1341,9,131
P1370,9,190
P0374,9,142
P1268,9,155
P1143,9,12
P1469,9,51
P0927,9,129
P0306,9,21
P0918,9,67
P1490,9,27
P0745,9,99
P0305,9,10
P0302,9,19
P0325,9,18
P1787,9,50
P0192,9,137
P1059,9,6
P0747,9,69
P0704,9,115
P0549,9,63
P1063,9,28
P0978,9,86
P0707,9,68
P1849,9,119
P1061,9,52
P1053,9,167
P1264,9,74
P1089,9,199
P1373,9,193
P0338,9,112
P1172,9,135
P1090,9,88
P1202,10,40
P1791,10,182
P1500,10,105
P0380,10,167
P1421,10,97
P0550,10,25
P1454,10,53
P1203,10,14
P1400,10,86
P0759,10,28
P0877,10,198
P1349,10,18
P1763,10,109
P1097,10,137
P1120,10,124
P0370,10,67
P1686,10,147
P1256,10,63
P0564,10,8
P0411,10,148
P0570,10,163
P1435,10,57
P1085,10,114
P1565,10,13
P1836,10,178
P0683,10,190
P1133,10,150
P0801,10,199
P1755,10,103
P0761,10,187
P0007,10,186
P0629,10,81
P1438,10,21
P1363,10,80
P1741,10,122
P0535,10,193
P1253,10,79
P1489,10,117
P1352,10,43
P0844,10,2
P1050,10,115
P1437,10,146
P0880,10,157
P0849,10,181
P1839,10,96
P0713,10,90
P0911,10,78
P1529,10,108
P0630,10,39
P0666,10,70
P0603,10,164
P0802,10,54
P1401,10,37
P1105,10,173
P1816,10,11
P1260,10,7
P0998,10,177
P0768,10,154
P0936,10,9
P1480,10,196
P0853,10,72
P0945,10,152
P0362,10,56
P1468,10,125
P1391,10,46
P1528,10,143
P1011,10,101
P0404,10,127
P0032,10,17
P0859,10,165
P1247,10,77
P1396,10,1
P0810,10,104
P0989,10,29
P1134,10,99
P1335,10,110
P0647,10,68
P1439,10,126
P1270,10,83
P1376,10,91
P0736,10,155
P1511,10,134
P0865,10,22
P1348,10,95
P0910,10,42
P1455,10,30
P1320,10,49
P1608,10,133
P1103,10,151
P1269,10,73
P1319,10,44
P0842,10,135
P1408,10,192
P0772,10,16
P0760,10,27
P1106,10,171
P1683,10,111
P1687,10,130
P1147,10,131
P1685,10,166
P1474,10,153
P1465,10,168
P1190,10,195
P0925,10,144
P1397,10,85
P0916,10,132
P0191,10,4
P0813,10,23
P0292,10,170
P0563,10,189
P0189,10,66
P0175,10,113
P1353,10,74
P1013,10,160
P0708,10,98
P0947,10,169
P1425,10,20
P1110,10,158
P0495,10,82
P1336,10,69
P0852,10,24
P1146,10,140
P1589,10,48
P0846,10,123
P0566,10,71
P0493,10,106
P1674,10,118
P0711,10,45
P0920,10,200
P1443,10,88
P1664,10,112
P1220,10,75
P1136,10,58
P1662,10,121
P1020,10,87
P0604,10,162
P0371,10,35
P1107,10,138
P1255,10,94
P1354,10,47
P1362,10,100
P1014,10,191
P0296,10,184
P1213,10,6
P1108,10,142
P1096,10,176
P1316,10,31
P1245,10,33
P1252,10,51
P1420,10,61
P0061,10,26
P0909,10,59
P1522,10,55
P0451,10,175
P1486,10,119
P0858,10,149
P1321,10,38
P1827,10,139
P1318,10,65
P0464,10,188
P0850,10,161
P1530,10,116
P1251,10,10
P1254,10,64
P1347,10,41
P1823,10,32
P0814,10,50
P1607,10,159
P1614,10,136
P1471,10,141
P0379,10,145
P0548,10,102
P1378,10,93
P0938,10,60
P1191,10,76
P0854,10,92
P0097,10,52
P1404,10,129
P1121,10,179
P1012,10,62
P1419,10,12
P0807,10,156
P1510,10,107
P0743,10,197
P1383,10,15
P0818,10,174
P1019,10,128
P1501,10,172
P0709,10,84
P1302,10,19
P1777,10,180
P1409,10,120
P1080,10,36
P1447,10,3
P1488,10,194
P0707,10,34
P1381,10,89
P0415,10,185
P0465,10,183
P1350,10,5
P1678,11,83
P1552,11,174
P0879,11,36
P1655,11,28
P1774,11,89
P0943,11,23
P0380,11,104
P1553,11,173
P1056,11,1
P0006,11,81
P0106,11,35
P0049,11,131
P1206,11,100
P1763,11,88
P0054,11,132
P1256,11,54
P1160,11,168
P0717,11,29
P1162,11,68
P1563,11,166
P0162,11,101
P0009,11,67
P0411,11,108
P1344,11,12
P0151,11,53
P1661,11,95
P0179,11,30
P0570,11,34
P0067,11,46
P0531,11,119
P1282,11,142
P0394,11,185
P0555,11,78
P0799,11,98
P0848,11,57
P1741,11,42
P0792,11,8
P0536,11,15
P0957,11,10
P0883,11,135
P0840,11,17
P1456,11,196
P1055,11,2
P0052,11,103
P0388,11,164
P1253,11,22
P1590,11,62
P0849,11,77
P1839,11,147
P0608,11,158
P0911,11,61
P1054,11,5
P0987,11,58
P0933,11,141
P0112,11,31
P1267,11,153
P1027,11,24
P0387,11,171
P0446,11,143
P1564,11,163
P0738,11,128
P1436,11,91
P0430,11,134
P0473,11,156
P1641,11,151
P0384,11,189
P0362,11,180
P1228,11,56
P0588,11,149
P0484,11,175
P0591,11,188
P0389,11,170
P0703,11,3
P1874,11,122
P0633,11,190
P1826,11,52
P0324,11,140
P0966,11,178
P1559,11,169
P0951,11,21
P0553,11,111
P1640,11,199
P0910,11,73
P0197,11,116
P0458,11,139
P0472,11,191
P0821,11,179
P0393,11,159
P1687,11,26
P1417,11,145
P0300,11,55
P0412,11,133
P0438,11,112
P0476,11,148
P1276,11,13
P1671,11,195
P0921,11,14
P1356,11,75
P0148,11,144
P0708,11,71
P1866,11,160
P0607,11,198
P0794,11,93
P1824,11,63
P0822,11,176
P0613,11,146
P0590,11,167
P0852,11,94
P1589,11,79
P0545,11,162
P1345,11,32
P0710,11,69
P0711,11,66
P1095,11,113
P0923,11,27
P0884,11,80
P1372,11,97
P1940,11,138
P0592,11,157
P1658,11,121
P0716,11,11
P0789,11,90
P0920,11,120
P1116,11,49
P0906,11,16
P0755,11,44
P0556,11,84
P0974,11,92
P0427,11,129
P0449,11,19
P1192,11,7
P0385,11,165
P0737,11,82
P0757,11,45
P0113,11,25
P0693,11,123
P1362,11,136
P1257,11,65
P1096,11,39
P0593,11,197
P0606,11,155
P0823,11,154
P0198,11,110
P1173,11,105
P1252,11,37
P0909,11,72
P0643,11,124
P0905,11,6
P0634,11,152
P0795,11,96
P0714,11,70
P1793,11,18
P1607,11,33
P1823,11,50
P0785,11,20
P1088,11,115
P0123,11,181
P0620,11,192
P0379,11,74
P1657,11,40
P1596,11,38
P0068,11,51
P1802,11,86
P0621,11,172
P1756,11,43
P1343,11,9
P0624,11,85
P1314,11,4
P1199,11,177
P0354,11,87
P1540,11,125
P0199,11,99
P0374,11,114
P0744,11,200
P0743,11,137
P1182,11,184
P1496,11,106
P0383,11,193
P1642,11,194
P0758,11,102
P0305,11,59
P0163,11,76
P0656,11,161
P0797,11,107
P1273,11,117
P0709,11,48
P0439,11,109
P1703,11,64
P0243,11,186
P0589,11,183
P0554,11,118
P0707,11,41
P0286,11,150
P0399,11,126
P0304,11,127
P1561,11,187
P1712,11,47
P1381,11,130
P0234,11,182
P1867,11,60
P0109,12,49
P1678,12,73
P1719,12,156
P1791,12,90
P1629,12,13
P1454,12,50
P0803,12,96
P0461,12,51
P0984,12,168
P0006,12,165
P1776,12,14
P0877,12,97
P1763,12,15
P1315,12,106
P0049,12,166
P0982,12,200
P0170,12,130
P1751,12,110
P1592,12,167
P1686,12,91
P0963,12,89
P0516,12,45
P1790,12,59
P0060,12,53
P0513,12,9
P0570,12,116
P1435,12,16
P1801,12,190
P0297,12,171
P1565,12,41
P0660,12,172
P1104,12,74
P1281,12,103
P1282,12,113
P0016,12,81
P0303,12,191
P0799,12,29
P0469,12,42
P0674,12,163
P0231,12,78
P1741,12,25
P0536,12,32
P0126,12,164
P0957,12,69
P1051,12,92
P1794,12,146
P0673,12,160
P1118,12,64
P0227,12,75
P0539,12,44
P0849,12,43
P0517,12,144
P1839,12,127
P1732,12,178
P0608,12,112
P0875,12,114
P0911,12,128
P0174,12,154
P0298,12,158
P0112,12,30
P0987,12,177
P1267,12,115
P1077,12,102
P0029,12,173
P0630,12,82
P0958,12,52
P0981,12,189
P0446,12,150
P0014,12,88
P0701,12,188
P1124,12,11
P0031,12,155
P0853,12,186
P1780,12,4
P0362,12,141
P0209,12,176
P0774,12,95
P0952,12,56
P0027,12,175
P0665,12,62
P0962,12,83
P1073,12,104
P1792,12,185
P0463,12,76
P0299,12,187
P1119,12,55
P0703,12,174
P0617,12,139
P0611,12,35
P0948,12,10
P0662,12,54
P0865,12,36
P0995,12,31
P1374,12,118
P1052,12,192
P1380,12,34
P0917,12,93
P1453,12,39
P0181,12,151
P0661,12,94
P0804,12,100
P1417,12,143
P0001,12,157
P0939,12,72
P0916,12,77
P0191,12,129
P0488,12,159
P1609,12,70
P0820,12,12
P0250,12,40
P0447,12,1
P0708,12,101
P0947,12,2
P1534,12,111
P1533,12,136
P1673,12,58
P1072,12,105
P1616,12,194
P0613,12,126
P1394,12,125
P0283,12,38
P1117,12,63
P0474,12,57
P0545,12,3
P1796,12,142
P0063,12,71
P0293,12,60
P1325,12,37
P1351,12,121
P0235,12,99
P0317,12,196
P0920,12,145
P1116,12,86
P0755,12,48
P0072,12,33
P0557,12,65
P1288,12,147
P1205,12,122
P1591,12,197
P0986,12,153
P1613,12,193
P1575,12,198
P1357,12,17
P0466,12,84
P0940,12,66
P0809,12,26
P0296,12,79
P1362,12,120
P0980,12,183
P0515,12,148
P0021,12,87
P1337,12,28
P1316,12,19
P0028,12,182
P0252,12,8
P1245,12,119
P1252,12,133
P0909,12,138
P0210,12,181
P1197,12,140
P0280,12,20
P0464,12,27
P1878,12,98
P1064,12,134
P0676,12,162
P1287,12,107
P1398,12,7
P1607,12,184
P0532,12,24
P0610,12,46
P1596,12,180
P0026,12,169
P0097,12,149
P0854,12,179
P0307,12,161
P1102,12,124
P0706,12,61
P0102,12,68
P0918,12,6
P0306,12,152
P0279,12,137
P0546,12,85
P1019,12,117
P0302,12,195
P1302,12,21
P0704,12,22
P0295,12,80
P1488,12,135
P0581,12,67
P0707,12,170
P0399,12,123
P1053,12,23
P1373,12,131
P0281,12,5
P1381,12,132
P1532,12,108
P0062,12,199
P0415,12,18
P0739,12,109
P1090,12,47
P1779,13,103
P0246,13,186
P1449,13,190
P1552,13,176
P0943,13,104
P1840,13,162
P0526,13,68
P0771,13,70
P1293,13,56
P0803,13,112
P1553,13,164
P0006,13,16
P1097,13,67
P1763,13,146
P1142,13,47
P1086,13,65
P1682,13,185
P1403,13,166
P0193,13,69
P1256,13,122
P1431,13,171
P1517,13,145
P1160,13,34
P0239,13,66
P1551,13,187
P0462,13,100
P0513,13,188
P0179,13,147
P0570,13,120
P1507,13,106
P0297,13,53
P1565,13,41
P1603,13,3
P1133,13,110
P1605,13,44
P1558,13,174
P0007,13,165
P0970,13,21
P1542,13,195
P0469,13,116
P1183,13,111
P0816,13,33
P1140,13,32
P1253,13,138
P0883,13,75
P1508,13,105
P1543,13,163
P1546,13,158
P1377,13,76
P1286,13,153
P1839,13,152
P0835,13,12
P0608,13,99
P1054,13,148
P0298,13,2
P0498,13,121
P1464,13,22
P0218,13,48
P1250,13,45
P1124,13,97
P1816,13,83
P0853,13,31
P1547,13,200
P0497,13,52
P0588,13,79
P0907,13,128
P0220,13,6
P1482,13,38
P1217,13,123
P0214,13,157
P1472,13,15
P1193,13,169
P0436,13,167
P0859,13,77
P1429,13,181
P1478,13,28
P0565,13,87
P1826,13,63
P0611,13,126
P0475,13,109
P1134,13,135
P1439,13,156
P0212,13,197
P1492,13,27
P1161,13,125
P1374,13,7
P1380,13,8
P1453,13,168
P0215,13,196
P1841,13,170
P1650,13,58
P0772,13,124
P0804,13,144
P0213,13,160
P1306,13,78
P1147,13,5
P1545,13,159
P0172,13,4
P1276,13,93
P1239,13,94
P1412,13,54
P0488,13,29
P0502,13,40
P1013,13,88
P1356,13,61
P1534,13,139
P0185,13,25
P0105,13,127
P1425,13,191
P0967,13,46
P0115,13,175
P0607,13,89
P1411,13,82
P1589,13,55
P1803,13,14
P0566,13,95
P0063,13,199
P0740,13,13
P0711,13,71
P1219,13,161
P0255,13,81
P1368,13,64
P0716,13,149
P0366,13,26
P1443,13,39
P0195,13,62
P1303,13,132
P0583,13,192
P0219,13,23
P0737,13,50
P0757,13,60
P1020,13,98
P1625,13,172
P0372,13,1
P1257,13,101
P1096,13,74
P0606,13,57
P0904,13,49
P1316,13,107
P1337,13,189
P1252,13,140
P1241,13,92
P0154,13,198
P1002,13,84
P0858,13,59
P0437,13,177
P0343,13,17
P1254,13,115
P1607,13,155
P1823,13,143
P0812,13,35
P1289,13,37
P0908,13,119
P1367,13,73
P0610,13,142
P0620,13,91
P0379,13,129
P0311,13,182
P0975,13,18
P1756,13,117
P0854,13,24
P0624,13,151
P1196,13,36
P0612,13,130
P0991,13,178
P0374,13,137
P0744,13,114
P0166,13,80
P0533,13,118
P0743,13,134
P1428,13,184
P1490,13,113
P0758,13,19
P1019,13,85
P0004,13,183
P0163,13,154
P0368,13,90
P0184,13,10
P1809,13,194
P1777,13,108
P1513,13,133
P0243,13,72
P0978,13,20
P1080,13,141
P0589,13,86
P0707,13,51
P1005,13,180
P1483,13,102
P0304,13,42
P1544,13,173
P1053,13,150
P0836,13,11
P0544,13,179
P1200,13,30
P1530,13,131
P1778,13,136
P1365,13,43
P1867,13,193
P0694,13,96
P0050,13,9
P0699,14,106
P0285,14,154
P0109,14,10
P1779,14,149
P1840,14,63
P0158,14,165
P1885,14,34
P1123,14,21
P1079,14,190
P0803,14,187
P0759,14,192
P1494,14,174
P0698,14,99
P1097,14,69
P0165,14,70
P0110,14,37
P0697,14,80
P1285,14,16
P0623,14,118
P1682,14,61
P1023,14,188
P1551,14,50
P0516,14,197
P0564,14,89
P0060,14,49
P1152,14,14
P1344,14,138
P0886,14,98
P0041,14,44
P1661,14,67
P0179,14,107
P0570,14,120
P0625,14,137
P0531,14,193
P0297,14,164
P1603,14,185
P0065,14,105
P1558,14,55
P1766,14,25
P0555,14,123
P1165,14,7
P0648,14,200
P0259,14,79
P1118,14,172
P0126,14,85
P0840,14,186
P1794,14,152
P0258,14,75
P1399,14,166
P1901,14,40
P1050,14,91
P0880,14,74
P1286,14,28
P1839,14,48
P0719,14,20
P0019,14,140
P1326,14,124
P0666,14,45
P0958,14,139
P1401,14,173
P0446,14,175
P0014,14,36
P0651,14,15
P1237,14,155
P0430,14,33
P0429,14,31
P0456,14,108
P1171,14,13
P0853,14,143
P0945,14,5
P0450,14,156
P1675,14,58
P0952,14,144
P1164,14,38
P0950,14,112
P0156,14,160
P1240,14,19
P1792,14,179
P1364,14,142
P0565,14,97
P0810,14,129
P0440,14,90
P0611,14,81
P0989,14,4
P1439,14,56
P0948,14,96
P0724,14,35
P0722,14,182
P1122,14,32
P1052,14,189
P0949,14,121
P1455,14,177
P1608,14,88
P0455,14,191
P1045,14,169
P1328,14,117
P1175,14,141
P1408,14,163
P1683,14,183
P0885,14,128
P0213,14,60
P1147,14,150
P0800,14,102
P1545,14,57
P0514,14,199
P0652,14,29
P1258,14,2
P0191,14,159
P0189,14,176
P1609,14,184
P0359,14,110
P1356,14,158
P1355,14,147
P1168,14,41
P1290,14,114
P0115,14,54
P1244,14,8
P0613,14,24
P1111,14,111
P1589,14,178
P1214,14,126
P1384,14,146
P0566,14,66
P1154,14,130
P0155,14,198
P0063,14,64
P1674,14,86
P0884,14,82
P1170,14,17
P0141,14,167
P1169,14,42
P1301,14,122
P1698,14,180
P0195,14,73
P1001,14,18
P0427,14,157
P0449,14,195
P1591,14,93
P0309,14,46
P0314,14,171
P0453,14,153
P1662,14,83
P0538,14,115
P1357,14,3
P0023,14,39
P1096,14,109
P1213,14,125
P1300,14,133
P1337,14,62
P0061,14,84
P0154,14,51
P0428,14,151
P1486,14,162
P0451,14,104
P1487,14,168
P0944,14,9
P0017,14,196
P0850,14,135
P0343,14,136
P0039,14,12
P1588,14,95
P0685,14,92
P1215,14,116
P1767,14,6
P1289,14,76
P0532,14,113
P0610,14,72
P0266,14,23
P0125,14,71
P0548,14,145
P0111,14,170
P1343,14,119
P1314,14,127
P1415,14,161
P0357,14,68
P1520,14,194
P0956,14,148
P0942,14,94
P0991,14,59
P0135,14,27
P1331,14,78
P0279,14,43
P1259,14,47
P0004,14,53
P0163,14,65
P1787,14,134
P0441,14,87
P0808,14,1
P1809,14,52
P0133,14,11
P0549,14,77
P1231,14,131
P1918,14,26
P0946,14,22
P0062,14,100
P1660,14,103
P1694,14,181
P1172,14,30
P0436,14,101
P0739,14,132
P0879,15,187
P0903,15,131
P1805,15,47
P1774,15,52
P1863,15,76
P0006,15,70
P1405,15,84
P0877,15,192
P0360,15,120
P0049,15,15
P1128,15,45
P1049,15,129
P1285,15,177
P0186,15,171
P1646,15,98
P0239,15,111
P1177,15,94
P0060,15,158
P1149,15,167
P0151,15,21
P0059,15,150
P1694,15,157
P0531,15,63
P0297,15,161
P0871,15,68
P0683,15,198
P1603,15,134
P0065,15,180
P0007,15,28
P0672,15,170
P1282,15,57
P0091,15,6
P1078,15,106
P1048,15,173
P0469,15,101
P0282,15,112
P1051,15,174
P1359,15,49
P1352,15,148
P1461,15,40
P1180,15,42
P0880,15,184
P1286,15,191
P0347,15,113
P1839,15,9
P0824,15,67
P0498,15,159
P0033,15,16
P1267,15,54
P1326,15,116
P1329,15,168
P0056,15,138
P1087,15,74
P0981,15,182
P0876,15,155
P1764,15,25
P1126,15,66
P1564,15,35
P0018,15,100
P0701,15,137
P1816,15,22
P0031,15,69
P1693,15,55
P0616,15,11
P0362,15,92
P0196,15,99
P0209,15,87
P0497,15,145
P0774,15,119
P0907,15,93
P1620,15,4
P0665,15,127
P1843,15,95
P1773,15,38
P0116,15,10
P1478,15,117
P0463,15,71
P1676,15,82
P0440,15,165
P1597,15,48
P0684,15,169
P0435,15,136
P0409,15,108
P0553,15,86
P1830,15,23
P0902,15,135
P0064,15,181
P1374,15,72
P1380,15,193
P1608,15,65
P1328,15,14
P1175,15,88
P0983,15,110
P0821,15,30
P0213,15,5
P1035,15,78
P0008,15,64
P1581,15,33
P1545,15,51
P1549,15,46
P1477,15,31
P1216,15,139
P1358,15,172
P1283,15,196
P1239,15,195
P1623,15,19
P0401,15,80
P0502,15,102
P1353,15,146
P1356,15,132
P1859,15,56
P1150,15,179
P1355,15,147
P1425,15,96
P0397,15,107
P1493,15,115
P1394,15,144
P0063,15,188
P1674,15,77
P0922,15,186
P0680,15,89
P0055,15,156
P1406,15,176
P0923,15,125
P1351,15,152
P1656,15,34
P0870,15,189
P0141,15,124
P1842,15,7
P0920,15,151
P0346,15,59
P0906,15,90
P0755,15,91
P1288,15,109
P0501,15,118
P1664,15,17
P1020,15,163
P1580,15,75
P0737,15,105
P1046,15,141
P1579,15,103
P1567,15,2
P0296,15,121
P0881,15,190
P0823,15,85
P1316,15,164
P1422,15,197
P0637,15,83
P1201,15,53
P0061,15,166
P1522,15,199
P0437,15,62
P0905,15,154
P0714,15,12
P1619,15,73
P1398,15,79
P0685,15,194
P1823,15,18
P1179,15,24
P0026,15,37
P1860,15,50
P0097,15,81
P1314,15,153
P1333,15,178
P1181,15,20
P1211,15,149
P0199,15,60
P0374,15,13
P1024,15,200
P0743,15,26
P0166,15,142
P1182,15,133
P1804,15,36
P1068,15,175
P1696,15,143
P1490,15,122
P1587,15,8
P1433,15,61
P1019,15,130
P1548,15,32
P1125,15,97
P0057,15,128
P1850,15,3
P1562,15,27
P0225,15,43
P1760,15,58
P1040,15,140
P1777,15,39
P1566,15,41
P0707,15,123
P1838,15,44
P1395,15,126
P0140,15,162
P1381,15,183
P0092,15,1
P0062,15,185
P1043,15,160
P1365,15,114
P0436,15,104
P0635,15,29
P0873,16,113
P0928,16,89
P1280,16,131
P1113,16,138
P1101,16,107
P0766,16,34
P1097,16,125
P1763,16,70
P1304,16,46
P0277,16,139
P1112,16,161
P1120,16,52
P1815,16,33
P1256,16,90
P0528,16,14
P0717,16,3
P1322,16,54
P1661,16,78
P0570,16,132
P0531,16,72
P0297,16,93
P0683,16,24
P1603,16,44
P0837,16,180
P0761,16,51
P0402,16,124
P1281,16,105
P1282,16,128
P1795,16,23
P1022,16,71
P1078,16,69
P0715,16,15
P1158,16,165
P0674,16,4
P0926,16,64
P1363,16,146
P1741,16,74
P0618,16,182
P0848,16,155
P1253,16,77
P0530,16,36
P1794,16,95
P0040,16,22
P0856,16,60
P1050,16,59
P1030,16,179
P0042,16,1
P1839,16,45
P0713,16,86
P0608,16,143
P0911,16,83
P1732,16,21
P0174,16,27
P0875,16,181
P0298,16,177
P1153,16,186
P1250,16,53
P1130,16,185
P1124,16,92
P1816,16,156
P0430,16,16
P0429,16,73
P1677,16,196
P0853,16,39
P0529,16,32
P0362,16,5
P0209,16,9
P0404,16,157
P1346,16,48
P0579,16,2
P0116,16,37
P1792,16,97
P1247,16,142
P0463,16,63
P1032,16,162
P0703,16,41
P0330,16,20
P1361,16,66
P1861,16,26
P1870,16,190
P1122,16,169
P0736,16,154
P0910,16,140
P1235,16,111
P1234,16,108
P1608,16,144
P1103,16,171
P0181,16,28
P0201,16,6
P0821,16,189
P0772,16,55
P1687,16,100
P1147,16,158
P1258,16,198
P0191,16,106
P0563,16,85
P1342,16,120
P0644,16,199
P1609,16,35
P1356,16,68
P1013,16,47
P0177,16,137
P0708,16,81
P1284,16,102
P1100,16,150
P1866,16,153
P1871,16,192
P1244,16,119
P0595,16,174
P1021,16,152
P1814,16,38
P0613,16,141
P1111,16,87
P1589,16,112
P0474,16,17
P1214,16,168
P0493,16,167
P1274,16,164
P0924,16,118
P0711,16,96
P0293,16,58
P0255,16,19
P0141,16,61
P1225,16,91
P0920,16,76
P1131,16,191
P0906,16,136
P0874,16,195
P1031,16,197
P1249,16,134
P1288,16,147
P1033,16,172
P1303,16,163
P0427,16,200
P0449,16,109
P1020,16,94
P0757,16,13
P1556,16,193
P1255,16,98
P1567,16,127
P1362,16,84
P1257,16,121
P1213,16,160
P1245,16,88
P1252,16,126
P0773,16,8
P0909,16,80
P1789,16,104
P0017,16,25
P0464,16,65
P0280,16,10
P0050,16,187
P0714,16,115
P1287,16,101
P0676,16,18
P1614,16,110
P1607,16,103
P1254,16,129
P1226,16,99
P0537,16,183
P1865,16,175
P0929,16,117
P0379,16,62
P0548,16,67
P0311,16,11
P1343,16,50
P0854,16,40
P1314,16,49
P1756,16,178
P1102,16,114
P0426,16,75
P1132,16,173
P0872,16,170
P0807,16,159
P0744,16,123
P1268,16,133
P0743,16,149
P1243,16,56
P0927,16,116
P0279,16,130
P1259,16,184
P1019,16,82
P1094,16,166
P0192,16,151
P0709,16,148
P1273,16,194
P0704,16,42
P1703,16,30
P1093,16,57
P1571,16,135
P0211,16,43
P1602,16,31
P0707,16,79
P1029,16,176
P1156,16,188
P0576,16,29
P0062,16,7
P1090,16,122
P0171,16,145
P1834,16,12
P1779,17,125
P0285,17,159
P1791,17,116
P0380,17,155
P0071,17,43
P1113,17,32
P0682,17,42
P0424,17,54
P0006,17,15
P1097,17,74
P1763,17,88
P1112,17,12
P1120,17,104
P1230,17,1
P0982,17,86
P1403,17,137
P0963,17,68
P1485,17,186
P0564,17,36
P0101,17,170
P0513,17,165
P1091,17,163
P1661,17,107
P0179,17,75
P1184,17,160
P0067,17,70
P0531,17,82
P1565,17,185
P1138,17,128
P0761,17,110
P1115,17,83
P0007,17,31
P1022,17,10
P1668,17,149
P1183,17,161
P1778,17,144
P1363,17,2
P1741,17,89
P0259,17,61
P0915,17,92
P1799,17,139
P0535,17,154
P1456,17,176
P0681,17,73
P0856,17,84
P0491,17,27
P0284,17,171
P1050,17,85
P0880,17,93
P1514,17,195
P1839,17,156
P0174,17,28
P0933,17,200
P1277,17,112
P0025,17,62
P1139,17,94
P0981,17,111
P1250,17,106
P0802,17,3
P1145,17,119
P1816,17,138
P1260,17,69
P0847,17,63
P1594,17,127
P0429,17,157
P1641,17,188
P0936,17,197
P0945,17,199
P0616,17,47
P0567,17,72
P0362,17,196
P0209,17,142
P1528,17,181
P1582,17,38
P0313,17,49
P0404,17,101
P1414,17,168
P0463,17,109
P0810,17,77
P0565,17,21
P0617,17,55
P1361,17,100
P0989,17,5
P1017,17,34
P1229,17,8
P0352,17,99
P0736,17,117
P1569,17,46
P1374,17,166
P1103,17,4
P1651,17,56
P1473,17,187
P0181,17,98
P0983,17,40
P1474,17,191
P1147,17,115
P0830,17,175
P1417,17,162
P0800,17,182
P0888,17,29
P0008,17,20
P0412,17,97
P0925,17,96
P0514,17,169
P1648,17,41
P1258,17,37
P0340,17,140
P0339,17,122
P0076,17,190
P1798,17,141
P1820,17,30
P0190,17,6
P1034,17,9
P0675,17,64
P1261,17,51
P1083,17,135
P1356,17,118
P0805,17,52
P0947,17,192
P1021,17,25
P0342,17,124
P1797,17,153
P0852,17,65
P1141,17,150
P1589,17,143
P1041,17,67
P1653,17,50
P0566,17,26
P0493,17,14
P1274,17,13
P0740,17,151
P1481,17,173
P0100,17,180
P1095,17,194
P1144,17,132
P0255,17,71
P0806,17,90
P1658,17,108
P0920,17,81
P1020,17,79
P0737,17,133
P0043,17,189
P1357,17,24
P1645,17,48
P1479,17,193
P1096,17,91
P0515,17,114
P0980,17,23
P0944,17,179
P1827,17,174
P0073,17,183
P1009,17,126
P1789,17,95
P0464,17,102
P1721,17,59
P0343,17,147
P1251,17,146
P1800,17,152
P1823,17,45
P0862,17,53
P1006,17,16
P0863,17,39
P0532,17,18
P0379,17,80
P1018,17,33
P1174,17,19
P0938,17,177
P0854,17,105
P1314,17,113
P1476,17,198
P1102,17,44
P0307,17,35
P1404,17,129
P1181,17,136
P0496,17,7
P0807,17,87
P0744,17,120
P0533,17,158
P1182,17,184
P0767,17,58
P0743,17,148
P1143,17,131
P0758,17,121
P1019,17,78
P0192,17,17
P1777,17,134
P1689,17,11
P1080,17,172
P0211,17,130
P0344,17,145
P0707,17,76
P0276,17,57
P1264,17,66
P1373,17,167
P0341,17,123
P1200,17,178
P1263,17,22
P1043,17,60
P1365,17,164
P0798,17,103
P0285,18,93
P0873,18,127
